age,children,dependents,count,income,balance,score,salary
58,4,0,8,104304.86418051049,10233.823753489307,755.419775457166,81898.50657548169
48,0,0,2,65584.89105668449,30024.819264777707,493.42726291582227,47445.1545760155
34,3,1,1,63995.56550546654,25224.144480749634,628.5663425157354,58826.45507823421
27,3,1,6,69849.20408525788,41375.66237202522,562.3299879433894,59941.56256661293
40,2,0,1,108761.10210560975,29575.244020268878,772.3681087825013,77476.16137353113
58,1,0,1,95648.2162474262,2673.048465564287,724.8374891892576,58047.50361711913
38,0,2,9,86114.29746930613,23774.30180980505,377.42421788396723,45187.05299206636
42,2,2,1,93286.27537341797,2710.239929636283,516.8900531285447,67050.5783171409
30,1,0,9,98534.17361834578,18096.855435725956,636.2475521455992,61877.59517823609
30,0,2,3,87049.87225808777,29593.868712393127,362.3308663945618,53695.248613440475
43,4,2,2,71931.23375355572,38696.678943957864,844.4178584993268,68821.24502868707
55,0,0,3,50334.322217862165,32929.80922380308,848.5646247477764,68381.55815215773
59,2,2,2,113168.53293030144,31996.726030071186,497.8746397512537,71629.68558400906
43,0,1,2,94879.4704541348,48057.91109701853,797.5478613013091,82979.74458554217
22,0,2,1,51903.300766114815,14558.0459561974,761.5316355787518,55061.52457485008
41,0,2,4,109655.7341159932,38141.976898244415,400.71937671619685,65280.15044710767
21,4,0,5,95865.2379507908,20915.50598568801,626.1814965131937,65717.02719271576
43,1,2,4,84790.28298609976,24893.188607007207,437.77403623937863,49226.56954271764
49,0,1,1,68160.64206641939,24871.651134830783,417.56881215614493,47194.75805307192
57,3,0,2,73210.85448906131,38730.824487021346,666.8843282683408,65886.13345582281
21,2,1,3,73341.05752208846,2705.500438575791,324.2799838115541,45685.79844450218
40,3,2,1,82603.16240063492,11764.117816488335,425.05026823149603,48980.59732346132
52,1,0,3,61895.41272097902,22485.475781555477,357.84963978307235,38893.43292256872
31,2,0,6,68481.98848836121,49068.32966408394,390.60576528833695,52773.0585696359
41,1,0,9,61282.68953398499,1757.6452082701842,333.6892156717287,32492.018835259296
44,2,1,2,117521.61100489645,15017.449565019422,346.6155218124277,61102.43635467505
46,3,0,7,72913.5939698193,25548.769622650372,613.0860797204347,68377.7145536654
47,3,2,6,97172.97051291785,21384.826213173048,823.296900350201,75672.20474295411
35,4,0,6,68661.87188973378,6607.230258267094,300.8871018886863,38855.538927979396
34,1,0,1,106185.63774298695,40634.264043410185,756.1824061213331,83094.27866862
22,3,2,2,58651.459871181214,28720.387323236137,808.720510344459,61082.67604284915
56,2,0,4,56125.44428273996,39657.85002463095,518.6955915716215,48947.2894904539
26,0,0,3,33772.764443096305,11397.688438158384,370.4095988226006,35234.0268126066
40,0,1,3,72128.45742732508,10471.895135525732,554.03213512815,39641.440439278056
28,0,2,4,97822.18572938288,47001.71742995006,748.6147428070533,80304.24380402706
58,4,2,6,53044.950183762194,12693.369164958902,596.0813338679386,53104.9283021477
37,3,0,7,61120.28534691772,47125.77881015344,638.2011360962236,57032.75630709549
23,1,1,3,47130.529172121154,43737.967220948885,441.92859680687354,51609.47646988148
